service_id,date,exception_type
C22342RA1VVYM-0011,20201115,1
C22342RA1VVYM-0011,20201122,1
C22342RA1VVYM-0011,20201129,1
C22343RA1PPMAA-011,20201113,1
C22345K1HCPÁ-0011,20201221,1
C22345K1HCPÁ-0011,20201222,1
C22346K1PPPÁ-0011,20201223,1
C22351AVVCsZ-021,20201108,1
C22351AVVCsZ-021,20201115,1
C22351AVVCsZ-021,20201122,1
C22351AVVCsZ-021,20201129,1
C22351AVVCsZ-021,20201206,1
C22351AVVCsZ-021,20201213,1
C22351AVVCsZ-021,20201220,1
C22351AVVCsZ-021,20201225,1
C22351AVVCsZ-021,20201226,1
C22351AVVCsZ-021,20201227,1
C22354APPIGy-021,20201113,1
C22354APPIGy-021,20201120,1
C22354APPIGy-021,20201127,1
C22354APPIGy-021,20201204,1
C22354APPIGy-021,20201218,1
C22354APPIGy-021,20210101,1
C22358ASZCsZ-021,20201114,1
C22358ASZCsZ-021,20201121,1
C22358ASZCsZ-021,20201128,1
C22358ASZCsZ-021,20201205,1
C22358ASZCsZ-021,20201219,1
C22358ASZCsZ-021,20201224,1
C22364AHPCsZ-011,20201109,1
C22364AHPCsZ-011,20201110,1
C22364AHPCsZ-011,20201111,1
C22364AHPCsZ-011,20201112,1
C22364AHPCsZ-011,20201113,1
C22364AHPCsZ-011,20201116,1
C22364AHPCsZ-011,20201117,1
C22364AHPCsZ-011,20201118,1
C22364AHPCsZ-011,20201119,1
C22364AHPCsZ-011,20201120,1
C22364AHPCsZ-011,20201123,1
C22364AHPCsZ-011,20201124,1
C22364AHPCsZ-011,20201125,1
C22364AHPCsZ-011,20201126,1
C22364AHPCsZ-011,20201127,1
C22364AHPCsZ-011,20201130,1
C22364AHPCsZ-011,20201201,1
C22364AHPCsZ-011,20201202,1
C22364AHPCsZ-011,20201203,1
C22364AHPCsZ-011,20201204,1
C22364AHPCsZ-011,20201207,1
C22364AHPCsZ-011,20201208,1
C22364AHPCsZ-011,20201209,1
C22364AHPCsZ-011,20201210,1
C22364AHPCsZ-011,20201211,1
C22364AHPCsZ-011,20201212,1
C22364AHPCsZ-011,20201214,1
C22364AHPCsZ-011,20201215,1
C22364AHPCsZ-011,20201216,1
C22364AHPCsZ-011,20201217,1
C22364AHPCsZ-011,20201218,1
C22364AHPCsZ-011,20201221,1
C22364AHPCsZ-011,20201222,1
C22364AHPCsZ-011,20201223,1
C22364AHPCsZ-011,20210101,1
C22365K1HPPÁ-0021,20201221,1
C22365K1HPPÁ-0021,20201222,1
C22365K1HPPÁ-0021,20201223,1
C22369ASZMAA-081,20201114,1
C22369ASZMAA-081,20201121,1
C22369ASZMAA-081,20201128,1
C22369ASZMAA-081,20201205,1
C22369ASZMAA-081,20201219,1
C22369ASZMAA-081,20201224,1
C22370AVVMAA-081,20201108,1
C22370AVVMAA-081,20201115,1
C22370AVVMAA-081,20201122,1
C22370AVVMAA-081,20201129,1
C22370AVVMAA-081,20201206,1
C22370AVVMAA-081,20201213,1
C22370AVVMAA-081,20201220,1
C22370AVVMAA-081,20201225,1
C22370AVVMAA-081,20201226,1
C22370AVVMAA-081,20201227,1
C22374ASZIGy-061,20201114,1
C22374ASZIGy-061,20201121,1
C22374ASZIGy-061,20201128,1
C22374ASZIGy-061,20201205,1
C22374ASZIGy-061,20201212,1
C22374ASZIGy-061,20201219,1
C22374ASZIGy-061,20201224,1
C22378ASVBR-0021,20201121,1
C22378ASVBR-0021,20201122,1
C22378ASVBR-0021,20201128,1
C22378ASVBR-0021,20201129,1
C22378ASVBR-0021,20201205,1
C22378ASVBR-0021,20201206,1
C22378ASVBR-0021,20201213,1
C22378ASVBR-0021,20201219,1
C22378ASVBR-0021,20201220,1
C22378ASVBR-0021,20201224,1
C22378ASVBR-0021,20201225,1
C22378ASVBR-0021,20201226,1
C22378ASVBR-0021,20201227,1
C22378ASVBR-0021,20210101,1
C22379TOSZHB-0021,20201114,1
C22380TOVVHB-0021,20201108,1
C22380TOVVHB-0021,20201115,1
C22391ASZMAA-081,20201114,1
C22391ASZMAA-081,20201121,1
C22391ASZMAA-081,20201128,1
C22391ASZMAA-081,20201205,1
C22391ASZMAA-081,20201219,1
C22391ASZMAA-081,20201224,1
C22392AVVMAA-081,20201108,1
C22392AVVMAA-081,20201115,1
C22392AVVMAA-081,20201122,1
C22392AVVMAA-081,20201129,1
C22392AVVMAA-081,20201206,1
C22392AVVMAA-081,20201213,1
C22392AVVMAA-081,20201220,1
C22392AVVMAA-081,20201225,1
C22392AVVMAA-081,20201226,1
C22392AVVMAA-081,20201227,1
C22393EVVHPYM-0011,20201228,1
C22393EVVHPYM-0011,20201229,1
C22393EVVHPYM-0011,20201230,1
C22393EVVHPYM-0011,20201231,1
C22394ASZYM-0011,20201114,1
C22394ASZYM-0011,20201121,1
